name,index,place,begin,tip,tipblank,action,actionblank,
wj,0,1,1642511013277,1642511017240,1642511020555,1642511021414,1642511022964,
wj,1,3,1642511022964,1642511026603,1642511029041,1642511029711,1642511031803,
wj,2,2,1642511031803,1642511034454,1642511037687,1642511038450,1642511040647,
wj,3,0,1642511040647,1642511043630,1642511047531,1642511048347,1642511049625,


wj,0,1,1642512103355,1642512106143,1642512108348,1642512109350,1642512111726,
wj,1,3,1642512111727,1642512114322,1642512116581,1642512117505,1642512119612,
wj,2,5,1642512119612,1642512123443,1642512125654,1642512126581,1642512128426,
wj,3,4,1642512128426,1642512130591,1642512134305,1642512135138,1642512137456,
wj,4,2,1642512137456,1642512140543,1642512142642,1642512152803,1642512154688,
wj,5,0,1642512154688,1642512157782,1642512161541,1642512162574,1642512163808,


wj,0,5,1642513089217,1642513092764,1642513096521,1642513097456,1642513099603,
wj,1,0,1642513099603,1642513102857,1642513105690,1642513106757,1642513109426,
wj,2,3,1642513109426,1642513112761,1642513116473,1642513118583,1642513121582,
wj,3,1,1642513121582,1642513125192,1642513128028,1642513129278,1642513131625,
wj,4,2,1642513131625,1642513134695,1642513137446,1642513149501,1642513152376,
wj,5,4,1642513152376,1642513154781,1642513158266,1642513159262,1642513161923,


wj,0,5,1642514132117,1642514135416,1642514138802,1642514144822,1642514145934,
wj,1,3,1642514145934,1642514149421,1642514152525,1642514153892,1642514156723,
wj,2,1,1642514156723,1642514159085,1642514163073,1642514164237,1642514167057,
wj,3,0,1642514167057,1642514170265,1642514173619,1642514174540,1642514176886,
wj,4,2,1642514176886,1642514180208,1642514183747,1642514184918,1642514186732,
wj,5,4,1642514186732,1642514190205,1642514192746,1642514194340,1642514196784,


